facility_name,facility_type_code,facility_type,address,city,zip_code,county,latitude,longitude,trauma_center_flag,fips_county_code,is_primary_care,is_hospital,is_emergency_department_proxy,has_valid_coordinates
SONORA HOME HEALTH,HHA,HOME HEALTH AGENCY,"28310 ROADSIDE DR, SUITE 236",AGOURA HILLS,91301,Los Angeles,34.14247899,-118.743313,,6037,False,False,False,True
SONORA HOSPICE,HOSPICE,HOSPICE,"28310 ROADSIDE DR, SUITE 235",AGOURA HILLS,91301,Los Angeles,34.14247899,-118.743313,,6037,False,False,False,True
SORA HOME HEALTH INC.,HHA,HOME HEALTH AGENCY,"855 N LARK ELLEN AVE, SUITE G",WEST COVINA,91791,Los Angeles,34.08770702,-117.917,,6037,False,False,False,True
SORRENTO IN THE DESERT,CLHF,CONGREGATE LIVING HEALTH FACILITY,3833 E AVENUE R12,PALMDALE,93550,Los Angeles,34.562115,-118.059705,,6037,False,False,False,True
"SORS HOSPICE, INC",HOSPICE,HOSPICE,"3200 WILSHIRE BLVD, SUITE 306",LOS ANGELES,90010,Los Angeles,34.061625,-118.292121,,6037,False,False,False,True
"SOTERIA HOME HEALTH AGENCY, INC.",HHA,HOME HEALTH AGENCY,959 N LA BREA AVE,INGLEWOOD,90302,Los Angeles,33.97595207,-118.3576854,,6037,False,False,False,True
SOUL CARE HOME HEALTH,HHA,HOME HEALTH AGENCY,"30851 AGOURA RD, SUITE 111",AGOURA HILLS,91301,Los Angeles,34.14549702,-118.792889,,6037,False,False,False,True
"SOUL HOSPICE CARE, INC.",HOSPICE,HOSPICE,"2930 HONOLULU AVE, SUITE 200",GLENDALE,91214,Los Angeles,34.212861,-118.243206,,6037,False,False,False,True
SOUL HOSPICE INC,HOSPICE,HOSPICE,"10926 RUSH ST, UNIT B",SOUTH EL MONTE,91733,Los Angeles,34.05122652,-118.0364939,,6037,False,False,False,True
"SOURCE SURGERY CENTER, LLC",ASC,SURGICAL CLINIC,2801 WILSHIRE BLVD,SANTA MONICA,90403,Los Angeles,34.03762158,-118.475571,,6037,False,False,False,True
"SOUTH BAY CHILDREN'S HEALTH CENTER ASSOCIATION, INC.",COMTYC,PRIMARY CARE CLINIC,14722 HAWTHORNE BLVD,LAWNDALE,90260,Los Angeles,33.897492,-118.3514805,,6037,True,False,False,True
SOUTH BAY CHILDRENS HEALTH CENTER,COMTYC,PRIMARY CARE CLINIC,410 CAMINO REAL,REDONDO BEACH,90277,Los Angeles,33.836832,-118.3813605,,6037,True,False,False,True
SOUTH BAY HOSPICE,HOSPICE,HOSPICE,"11239 TAMPA AVE, SUITE 203",PORTER RANCH,91326,Los Angeles,34.274259,-118.557153,,6037,False,False,False,True
SOUTH BAY SUNSET PAVILION,CLHF,CONGREGATE LIVING HEALTH FACILITY,1565 GULF AVE,WILMINGTON,90744,Los Angeles,33.794667,-118.274454,,6037,False,False,False,True
